affiliation_as_published,public_person_record_count,record_type
"2012 Labs, Huawei",1,affiliation_label_not_verified_organization
42dot,1,affiliation_label_not_verified_organization
A*STAR,1,affiliation_label_not_verified_organization
AFRL,1,affiliation_label_not_verified_organization
AI Robot Association,1,affiliation_label_not_verified_organization
"AI and Integrated Computer Systems (AIICS), Linköping University",1,affiliation_label_not_verified_organization
AICIA. G41099946,1,affiliation_label_not_verified_organization
AIOZ,1,affiliation_label_not_verified_organization
AIRO - IDLab - University of Ghent - IMEC,1,affiliation_label_not_verified_organization
AIST,2,affiliation_label_not_verified_organization
AIST Japan,1,affiliation_label_not_verified_organization
AIT Austrian Institute of Technology GmbH,1,affiliation_label_not_verified_organization
AIT Austrian Institute of Technology GmbH - Tufts University,1,affiliation_label_not_verified_organization
AMD,1,affiliation_label_not_verified_organization
ASU,1,affiliation_label_not_verified_organization
ATHENA RC,1,affiliation_label_not_verified_organization
Aalborg University,5,affiliation_label_not_verified_organization
Aalto University,5,affiliation_label_not_verified_organization
Aberystwyth University,3,affiliation_label_not_verified_organization
Academy of Military Sciences,1,affiliation_label_not_verified_organization
Action Intelligence,1,affiliation_label_not_verified_organization
Adelaide University,1,affiliation_label_not_verified_organization
Adobe,1,affiliation_label_not_verified_organization
Advanced Industrial Science and Technology,1,affiliation_label_not_verified_organization
Advanced Laser Technology Lab of Anhui Province,2,affiliation_label_not_verified_organization
Advanced Machines,1,affiliation_label_not_verified_organization
Advanced Micro Devices (AMD),1,affiliation_label_not_verified_organization
"Advanced Micro Devices (AMD), Inc",1,affiliation_label_not_verified_organization
Aeronautic Science and Engineering at Beihang University,1,affiliation_label_not_verified_organization
"Aerospace Information research Institute,Chinese Academy of Sciences",2,affiliation_label_not_verified_organization
Affiliation: Skolkovo Institute of Science and Technology,1,affiliation_label_not_verified_organization
Agency for Defense Development,1,affiliation_label_not_verified_organization
"Agency for Science, Technology and Research",1,affiliation_label_not_verified_organization
"Agency for Science, Technology and Research (A*STAR)",4,affiliation_label_not_verified_organization
Agile Robots SE,1,affiliation_label_not_verified_organization
Agility Robotics,1,affiliation_label_not_verified_organization
AiRiA,1,affiliation_label_not_verified_organization
Air Force Research Lab,1,affiliation_label_not_verified_organization
Air Force Research Laboratory,1,affiliation_label_not_verified_organization
"Aix Marseille Univ., CNRS, ISM, Marseille, France",1,affiliation_label_not_verified_organization
Aix Marseille University,1,affiliation_label_not_verified_organization
"Aix-Marseille University, CNRS, ISM",4,affiliation_label_not_verified_organization
Aix-Marseille University/CNRS,1,affiliation_label_not_verified_organization
Ajou University,4,affiliation_label_not_verified_organization
Albert-Ludwigs-Universität Freiburg,1,affiliation_label_not_verified_organization
Albert–Ludwigs–Universität Freiburg,1,affiliation_label_not_verified_organization
Alibaba,1,affiliation_label_not_verified_organization
Alibaba Amap,3,affiliation_label_not_verified_organization
Alibaba Group,3,affiliation_label_not_verified_organization
"Alibaba Group, China",1,affiliation_label_not_verified_organization
Alibaba-inc,1,affiliation_label_not_verified_organization
Alma Mater Studiorum - Università di Bologna,1,affiliation_label_not_verified_organization
AlphaZ-ai,1,affiliation_label_not_verified_organization
"Amap, Alibaba Group",6,affiliation_label_not_verified_organization
Amap， Alibaba Group,1,affiliation_label_not_verified_organization
Amazon,10,affiliation_label_not_verified_organization
"Amazon Frontier AI & Robotics; incoming Assistant Professor, University of Pennsylvania",1,affiliation_label_not_verified_organization
Amazon Inc,1,affiliation_label_not_verified_organization
