id,name,affiliation_as_published,roles,paper_count,paper_numbers,same_name_record_count,identity_review_required,source_urls,verification_levels,hilo_member,outreach_authorized,attendance_verified
person-531de909a54e78284818,"Haque, A K M Nadimul",University of Technology Sydney,paper_author,2,3680 | 5000,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-6ea836031dadd5e3c4b3,A. Gilad Kusne,University of Maryland / National Institute of Standards and Technology,workshop_speaker,0,,1,False,https://sites.tufts.edu/selfdrivinglabs-iros2026/,workshop_primary,False,False,False
person-39f1b7f076d28892e9bc,"Tamhankar, Aabha",Worcester Polytechnic Institute,paper_author,1,56,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-83e4685896abad96e55c,"Palnitkar, Aadi",University of Maryland College Park,paper_author,1,4585,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-750bef8c516d6d55c454,"Khandelwal, Aakash",Michigan State University,paper_author,1,21,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-c0122a604a34d9cf9352,"Suresh, Aamodh",US Army Research Laboratory,paper_author,1,53,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-bc4fef9e116260342989,"Tabrez, Aaquib",Cornell University,paper_author,1,1795,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-4b4f9adc9e685c33fbfd,"Ames, Aaron",California Institute of Technology,paper_author,4,3338 | 4454 | 4479 | 790,2,True,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-ea3e566111c6f285e616,"Ames, Aaron",Caltech,paper_author,1,3920,2,True,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-c45480e89017dc9e7b99,"Becker, Aaron",University of Houston,paper_author,1,4722,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-f916de93e8138c9ef0ef,"Feldman, Aaron",Stanford University,paper_author,1,122,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-b57df14204d73e46149a,"Johnson, Aaron M.",Carnegie Mellon University,paper_author,1,4060,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-53a46a20eac39869cded,"Steinfeld, Aaron",Carnegie Mellon University,paper_author,1,3520,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
